id_city,id_state,variable,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Springfield IL,IL,daily_mean,27.9,32.4,43.2,54.4,65.1,73.7,76.5,74.9,68.0,56.0,43.5,32.9
Springfield IL,IL,precipitation,2.03,1.93,2.76,3.97,4.52,4.61,3.85,3.37,2.86,3.26,2.71,2.15
Indianapolis IN,IN,daily_max,36.1,40.8,51.9,63.9,73.4,82.0,85.2,84.3,78.2,65.6,51.8,40.4
Indianapolis IN,IN,daily_mean,28.5,32.5,42.4,53.6,63.6,72.5,75.8,74.7,67.8,55.5,43.3,33.3
Indianapolis IN,IN,precipitation,3.12,2.43,3.69,4.34,4.75,4.95,4.42,3.2,3.14,3.22,3.45,2.92
Topeka KS,KS,daily_max,40.4,45.7,57.1,67.0,76.4,85.8,90.2,88.9,81.0,68.9,55.2,43.8
Topeka KS,KS,daily_mean,30.2,34.9,45.6,55.5,65.7,75.5,79.8,77.9,69.2,57.0,44.2,33.9
Topeka KS,KS,precipitation,0.89,1.31,2.25,3.81,5.17,4.92,3.99,4.55,3.52,2.85,1.78,1.49
Wichita KS,KS,daily_max,43.9,48.9,59.1,68.3,77.5,87.9,92.6,91.0,83.3,70.8,57.0,45.8
Wichita KS,KS,daily_mean,33.2,37.6,47.4,56.5,66.7,76.9,81.5,79.9,71.7,59.0,45.8,35.6
